incident_description,primary_cause
"Hazard-Large snow drift hanging over truck port while employees were shoveling snow, potential for snow to fall on employees.",-NEGLIGENCE
"Was at the site of a water main break. Following the main break repairs by our crew, subsequent repairs were in progress by a contractor crew repairing sewer and storm drainage piping later in the day. While inspecting the repair work in progress at the end of the day, observed a car approaching the construction site. Note that the road had been closed of from both sides with cones and signs. The car appeared to have squeezed between the cones and took the liberty to continue driving. As the east bound lane was closed the car started driving in the west bound lane at approx. 15 to 20 mph. When the crew and my self observed we started yelling at the driver. She slowed down and then we continued yelling as she continued at a lower speed. When we yelled the second time she responded and stopped directly next to the excavation. I spoke to the driver and asked the female elderly lady if she knew what she was doing and that she drove into a construction zone with signage posted ROAD CLOSED and cones. She noted that she had seen the sign but figured she could squeeze through the cone area and proceed as she said she was confused. She did appear to understand my strong safety message to never drive down pas a road closed sign as people are working and could get hurt. I then gave her directions to get out of the construction zone. The crew then rearranged the cones at the west end were she had entered.",-VEHICLE-POOR_JUDGMENT-NEGLIGENCE
Gene was entering Bldg 5931 the winds were high he had his hands full the door blew shut on his foot and caused him to trip and almost fall. he should have had a free hand to hold the door ,-POOR_JUDGMENT-NEGLIGENCE
"While walking into the store one of the ladies in our party turned around to say something to another person and when she turned back around a bicyclist that was riding on the sidewalk almost ran into her.  He never even reacted at the almost accident, just kept riding.",-POOR_JUDGMENT-NEGLIGENCE
"While pulling a trailer loaded with parts for an upcoming DSIC project to a stockyard, I was traveling on a road that is under heavy construction due to a road widening project.  The road is very narrow and in bad shape, and after a short time I noticed heavy smoke coming from the rear of the trailer.  I immediately pulled over at the next safe location and found one of the trailer tires had blown out.  Reported to my supervisor and we came up with a plan to safely remove the tire and have it repaired.  Luckily no other damage was done to the trailer and nobody was behind me at the time of the incident.  A visual inspection was done on the vehicle/trailer prior to departing but nothing defective was found at the time.  Believe this was a combination of a loaded trailer and rough roads that caused the malfunction and would have been tough to prevent.",-VEHICLE-NEGLIGENCE
"The heat sensing cameras that are dedicated to the truck bay of the WWTP indicated a super sac temperature , due to the bio solids were hotter than  the normal range of 65-70degrees. Mr. Boeing went to the super sac and noticed that the sac was hot near the bottom. The employee applied water into the bag to cool down the bio solids and prevent a  potential fire.",-POOR_JUDGMENT-NEGLIGENCE
"I was trying to acquire signal for a valve in the street, so I was standing in the road. There was literally no traffic. So I'm standing there and in the distance I see a red Subaru forester start approaching in the lane that I am standing. So I turn to the right to look to see if there is any oncoming traffic; there is none. So as the Subaru begins to approach me, I start waving him to slow down and go around me. Still, no other traffic. I notice the guy doesn't care to slow down, so I'm thinking he's just being a jerk in a hurry or something, going to speed by me. So he isn't responding to me signaling him to go around, so I turn to step out of the way, across the double line to put me in the other lane for traffic coming in the opposite direction (again no other traffic). I figured to get out of the subaru's way. This guy starts drifting towards me (I'm across a double yellow line now) so I jump out of the way while he last second slams on his brakes. He gives me a wave, and then goes on his merry way. There were no visibility concerns like road elevation or fog or me standing behind a tree. I was in plain sight, wearing my PPE, waving him to slow down and go around me. This whole incident made the point that people just might not listen to direction or care about the safety of others while you're out on the road trying to do your job, so always be aware. ",-VEHICLE-POOR_JUDGMENT-NEGLIGENCE
"Distribution construction crew was working repairing a main break.  Dumptruck was putting sand in the excavation and had the street blocked.  The signage was proper, stating road was closed and work zone was set up properly.  A car decided that they did not want to wait and proceeded over the small curb, into the yards, and up on the sidewalk.  They drove thru our excavation and returned to the roadway.  There was not enough time to identify the vehicle, plate, or driver.  Crew was not in the strike zone, but could have been very easily.  This was a very unsafe and unpredictable condition, and a person could have been injured due to this drivers unsafe activity.  Crew advised Ops. Supt. on Friday 2/12.",-VEHICLE-POOR_JUDGMENT-NEGLIGENCE
"Vehicle drove through ""Road Closure"" and drove into open excavation - no employees were in the excavation and no injuries to employees or driver.  District has discussed incident with employees and is evaluating improved road closure barriers ",-VEHICLE-NEGLIGENCE
"After LOTO of the OSEC unit, I began removing the Generator Assembly.  I removed the plates from the tube.  After cleaning the unit in Vinegar, I noticed several plates that were warped and had burn spots in them.  The unit had been very hot at one time because the housing was also warped. (see pictures below)  This unit was in service at the time I removed it.  If this unit was left in service, it could have shorted out by the plates touching and could of ignited the Hydrogen Gas within the tube and created an minor explosion.  The tube would have contained it!!  This occurred because of lack of maintenance and cleaning of the unit.  The build up happens over a long period of time that the unit was not cleaned properly by operators no longer with the company.  We (IOS team & local districts) have implemented a maintenance program that will address the frequency of cleaning, and possible prevent this from happening again.  The other OSEC unit was cleaned and seems to be in good shape but we will know more after the new unit is installed.",-HAZARDOUS_CHEMICAL-CHEMICAL-POOR_JUDGMENT-NEGLIGENCE
Safety chain to the east RO trench was broken creating a fall hazard. The employee was able make repairs and reattach the safety chain.,-FALL-POOR_JUDGMENT-NEGLIGENCE
A contractor parked his vehicle in a construction work zone next to a crane. The contractor ignored the danger safety tape and still parked there.  There is a prohibited zone around the crane for safty reasons. Corrective Actions that needs to be take: The employee had to stop his work and remove his vehicle and he was informed of appropriate areas to park.  An Observation Behavior Assessment was created to document the incident.  The contractors company was informed via email of the situation.  A Health and Safety Advisor will be distributed throughout the wastewater plant and water plant for acceptable parking locations.,-VEHICLE-NEGLIGENCE
"Contractor Crew was working with a WVAW inspector in the area of 5803 MacCorkle ave in South Charleston.  The work zone was in the shoulder area of the road, but 1 lane was shutdown as a precaution for crew safety.  An arrow board was being utilized to direct traffic into the Fast lane.  The area was also coned off and warning signs were placed well ahead of the work area alerting motorist.  Butch Templeton and I arrived to check with the crew, and parked our vehicle inside the work area, between the sign and the working crew.  While speaking with the crew and inspecting the job, We heard tires screeching and then a loud bang.  A car did not obey the signs or the arrow board and slammed into the arrow board and flipping it and  pushing it approx. 50-75' into the tire of the supervisors vehicle, which protected the crew which was on the other side of the vehicle. The vehicle then went into the fast lane where it stopped.  Butch checked on the driver, who would not speak to him. He was advised to pull off the roadway, but instead left the accident scene. Other drivers stopped and said that the driver had been involved in other near miss incidents and/or incidents before this occurred.  The incident was reported to Metro 911 and a police report was filed.  Lessons learned were that it is imperative to always have a buffer vehicle between you and traffic, in this case the supervisor vehicle.  Also, it is very important to always remain alert and aware, even in the very best setup work zone, as you can not account for the actions of distracted / impaired drivers.",-VEHICLE-NEGLIGENCE
Employee received a call for no power to a pump station and two lift stations. En route to the facilities we encountered down power poles over the road. A high profile vehicle had snagged a power line and ripped down 4 power poles. Found alternate safe route to facilities.,-VEHICLE-NEGLIGENCE
"Ladder attached to Railing / Walking Pateform @ WWTP New Sand Filter needs CHAINS installed across Opening.  Opening @ top of Ladder, ( WHILE ON TOP OF Walkway, becomes a FALL HAZARD which is a SAFETY ISSUE ! )",-POOR_JUDGMENT-NEGLIGENCE
"A contractor was renovating four manholes for American Water. AW employees arrived on site to examine the work and noticed the contractor was working in a manhole (permit required confined space) without a gas monitor. AW inquired to where it was at and the contractor stated they test the atmosphere before entry, but didn't want the monitor to get dirty, so they stopped using it. AW employees also noticed that the contractor was hooked us to the fall restraint system while at the bottom of the manhole, but not the retrieval system. Both systems were set up, the employee just failed to hook onto them both. The attendant also failed to catch any of these discrepancies. If the conditions were to have changed for the worse, the employee would not have known (no monitor) and there would have been no way to retrieve him (not hooked up to the retrieval system). AW employees stopped the work until the monitor was retrieved and functioning and the entrant was hooked up to both the restraint and retrieval systems. ",-POOR_JUDGMENT-NEGLIGENCE
"Notice a co-worker speeding through the service centers front gate entrance where all company vehicles go through and the reporting employee was driving without caution to other individuals safety. The speed limit is only 5 MPH and not 60 MPH. The reporting employee told the female driver to slow down and reminded her that the speed limit was 5 MPH, but she decided that those rules don't apply to her and told the reporting employee to shut up. Speed limit signs are there for a reason and there should be no exclusions.",-VEHICLE-NEGLIGENCE
"At the end of the shift, Tom discovered a tick crawling down his neck.  He not only checked for more ticks, he also immediately alerted his crew to check themselves as well before going home for the day.  No more ticks were discovered.",-POOR_JUDGMENT-NEGLIGENCE
"Employee (MMII) reported the well contractor was setting up to replace well pump with boom crane at our facility. The crane (if extended,) would have encroached on the safe working distance from overhead electrical wired. AW employees visited site and stopped work until contractor demonstrated a safe alternative to install the well pump without encroaching on the safe zone for electrical hazard. The contractor ceased work and will dispatch the appropriate crane to safely complete the job.",-POOR_JUDGMENT-NEGLIGENCE
"This near miss was off duty, however I think it is a good reminder for everyone that you should be safe on and off the job. I was riding my bike in the shoulder of a major roadway. I noticed that a car, who was most likely playing ""Pokemon Go,"" was slowly drifting into the shoulder where I was riding my bike. Luckily, I was facing the car which is why I could see that the car was drifting, and I decided to stop my bike and move way over out of the way onto the grass nearby. The car slowly drifted back into its lane, but I took a precautionary action that ensured my safety. ",-POOR_JUDGMENT-NEGLIGENCE
"During a walkthrough of the Wastewater Treatment Plant (WWTP) by our Alpha Division Director; Joe Tacket with two WWTP an observation was made that the ""life ring"" for Primary Clarifier #1 was not replaced upon the completion of the R&R work (June 2016). The ""life ring"" is a safety throw device in case someone fell into the wastewater of the clarifier. The ""life ring"" was found on the outside of the clarifier but not in its correct location.",-POOR_JUDGMENT-NEGLIGENCE
55-gallon ferric drum was unloaded from back of delivery vehicle unto cement pad.  No pallet jack available; operator sent to Sand City Treatment for a drum dolly.  When lifting drum noticed ferric residue on ground and determined that the drum had a leak.  We moved barrel to containment area; went to Ryan Ranch to get an empty ferric drum brought back to Toro and transferred ferric to empty drum. Empty drum was labeled as leaking.,-CHEMICAL
"ADC delivered chemicals today at the Suck Creek plant. While filling the container for fluoride the cap blew off due to air pressure and some fluoride sprayed under face shield of delivery guy. TN employee led him to eye wash station and administered first aid. TN employee then called ADC and both he and delivery driver spoke to their safety personnel.  The driver after speaking with his safety guy and feeling better left on his own, against TN employee's advice.",-HAZARDOUS_CHEMICAL-CHEMICAL-POOR_JUDGMENT-NEGLIGENCE
Employee reports that a leak registering .40 on leak monitor. 8/13/16 Operator  noticed the monitor at Yardley plant reading .4 and in warning mode contacted supervisor. Who called in maint personal to check out situation. Found a under tighten yoke on cylinder that was on line for 7 days. Replaced lead washer tightened yoke rechecked for leaks return cylinder to service. At no time did the leak go over a .50. Proper PPE was worn for a leak that small. Never reached the alarm state of 1.0 only a warning on monitor was observed .5,-HAZARDOUS_CHEMICAL-CHEMICAL-POOR_JUDGMENT-NEGLIGENCE
A crew was assigned to remove an intake pump and to get it ready to be sent out for repair. As they were in the process of removing the pump they noted that an unusual amount of water was leaking past a steel plate that was installed last year and they had concerns if it was too much water to deal with. The crew notified the supervisor who contacted the safety manger to come out and perform a site visit so they could together plan out the best way to manage the issue. It was determined that the leak was too severe to continue and that the best course of action would be to wait until the river level drops lower than the steel plate and then to have a contractor repair the hole permanently,-POOR_JUDGMENT-NEGLIGENCE
"While excavating a trench to install a pipe on a construction project, the crew struck an unmarked gas service. The gas main was marked along with the gas service for the address the crew was working in front of. The service was an old abandoned one that the gas company did not properly destroy. The old service was at least 25' from the new service line. The old service was pulled out of the gas main. The crew stopped work immediately and contacted 911, the gas company and Mo One Call. There was no indication the line was there.",-POOR_JUDGMENT-NEGLIGENCE
The desk drawer that I have has very sharp edges. I did not close the drawer all the way and scratched my wrist. It did not break the skin but a little swollen and red. I consulted with Joel Mitchell to see if anything could be done about the sharp edges. He is looking into it.,-NEGLIGENCE
A soup can with the lid still attached was placed in the recycle bin. Could have been cut from lid. Reminded others to remove lids and protect sharp edges.,-POOR_JUDGMENT-NEGLIGENCE
"Team member was packing laptop in bag and dropped on his foot, no injury occurred.",-POOR_JUDGMENT-NEGLIGENCE
Door leading into old chlorine room had a handle that malfunctioned and came off. The door cannot be opened or closed and is an access restraint  in case of an emergency. Repair contact called.,-NEGLIGENCE
"Contractor's employee working in Plant 18, repairing / installing Tyvek while on a pallet lifted over 8' by an all-terrain forklift.  The contractor was told to stop and the issue was reviewed with the superintendent.  The employee was wearing a safety harness (secured to the forklift back rest) which should be used with the proper safety cage; this was explained to the superintendent.",-FALL-POOR_JUDGMENT-NEGLIGENCE
"Was using a circular saw and after making a cut started to set it down on a steel table, I noticed a few sparks and immediately lifted the saw off of the table. I had not turned loose of it so I was able to react quickly. The blade guard was stuck in the open position exposing the blade.  I Immediately took the saw out of service until it could be looked at. I have since taken the saw apart and cleaned behind the guard and lubricated the pivot point. It now functions as it should. I was cutting aluminum with the proper blade. Making cuts of this kind(cutting metal with an abrasive blade produces fine particles and I believe this is what bound the guard up. We will pay closer attention to this in the future.  ",-NEGLIGENCE
"An employee reported while using the vacuum on the valve turning trailer, he noticed water coming out of the exhaust . He shut down the machine and inspected. He found out that the check valve ball in side of the tank was damaged. The plastic ball had melted during the refurbishing. This piece of equipment was not inspected after returning from being refurbished.",-NEGLIGENCE
 While I was washing and rinsing lab glassware I  picked up a beaker to rinse and noticed that it had broken in the sink .Luckily I was wearing thick rubber gloves therefore I avoided being cut. I disposed of the broken glass into the glass disposal bin .I promptly reported the near miss to my supervisor.,-POOR_JUDGMENT-NEGLIGENCE
"An American Water employee, while observing a contractor repair a water leak, noticed that the spoil pile was close to the hole where the work was being performed.  The employee spoke with the contractor and the contractor moved the spoil pile back 2 foot before continuing any further work.",-TRENCHING-NEGLIGENCE
Contractor performing excavation had dump truck too close to trench opening in my opinion. Instructed to re-position vehicle to avoid possible undermining incident. Work was ceased and contractor made necessary adjustments. ,-POOR_JUDGMENT-NEGLIGENCE
On the 8 am to 4 pm day during the shift safety inspection of the fork lift a hydraulic hose was found to be showing signs of wear when I came in for my 4 to midnight shift the employee told me of the problem  I addressed the issue and asked why he didn't call Wiese to come out and look at the problem. he said it wasn't his job to do that.  I informed the employee that safety was everyones job and that he could have called me or supervisor to get permission to get the problem repaired.  Employee then went and put a tag on the steering wheel so no one should use it until repaired.  I called weise and they will be out during day shift tomorrow to repair. ,-VEHICLE-NEGLIGENCE
"Equipment Issue; during a reboot of the HEB San Antonio ADACS/computer system by IT, multiple equipment turned on simultaneously as a result of an update/file and/or table not being implemented prior to the re-boot process.  The lead operator prevented the overflow of the reactors or damage to the blowers by identifying the issue and turning off two of the three blowers prior to the water escaping the reactor walls or pressure exceeding the piping/blower SCFM capability.   IT has taken the proper steps to prevent a re-occurrence by ensuring all updates/files and/or tables are accounted for prior to any future system re-boot.",-NEGLIGENCE
"On/Around 4/16/16, process fittings on a pressure transmitter broke, spraying water into an electrical enclosure. The electrical enclosure filled with water, shorting out a 120VAC UPS, a 12VDC power supply, and nearly submerged a 240x120 1500VA transformer.  The result was complete loss of control of the station and the creation of a hazardous condition - including a UPS that was rapidly cycling.",-NEGLIGENCE
"There was a fire in the mulch in the first row of cars across from the building near the Xerox entrance. I was returning from lunch and noticed smoke and saw flames as I was driving by. I parked as quick as I could, went inside to get water, let the Facilities Manager's office know, and ran out to try to douse the flames. By the time I got there, the patch of mulch that was on fire was already doused, so I poured the water I had on it and stirred the remnants with a nearby stick. There was no visible evidence.",-NEGLIGENCE
"Inside the entrance, just as you step off of the black safety mat, the tile flooring has a sandy, slippery surface. The steps are like that as well. Last year in same area, it was like that and fell very hard, and had a large bruise on my hip. I inform the company at time, and put something on the flooring to stop it. ",-NEGLIGENCE
"While doing our annual flushing, I arrived at a cul de sac to run a blow off.  After locating B.O. and associated valve, I removed the lid on the valve box to find a decent sized snake laying underneath the lid, with several more wedged inside the valve box. It was enough to catch me by surprise as I was not expecting that when removing the lid. I was unable to determine the type of snake but was able to safely remove them and continue flushing. ",-POOR_JUDGMENT-NEGLIGENCE
Employee pointed out the concern of possible faulty wiring in the fuse box of the skid steer he was operating. Wiring appeared to be faulty and their was no guarding(cover) in place to protect electrical contact with the operator. Equipment was taken out of service immediately and rental replacement was brought in.,-NEGLIGENCE
"Meter reader reported being attacked by 2 dogs while reading meters. The meter reader was not bitten and managed to fend off the dogs. The meter reader used the metal rod that is carried to lift meter lids to beat the dogs to keep from being bitten. The meter reader backed up against a church to have no way for the dogs to approach him from behind and was able to fend them off with the rod. After the dogs gave up the meter reader retreated to the truck and called the police and was directed to animal control and was not able to get through. The meter reader called me and I advised to stop reading the area. I contacted Animal Control and they were calling the police because the dogs were coming in and out of a home at will due to a front door that was open. The address the dogs came from has a radio reader installed, so that address is not read on foot.  Will note any resulting skips on the street due to the dangerous animals and note the file to beware that dogs were loose on the street on last attempt. ",-NEGLIGENCE
Crew found two electric cables unmarked in excavation.  Crew immediately stopped work and call One call.  Safety member was onsite.  Crew notified electric company.  Crew notified supervision.  Work was stopped until Cuirver River electric company could de-energize the electric.  Work was stopped until 5/13/2016 when it was considered to be safe to start excavation to fix main break.,-TRENCHING-NEGLIGENCE
Rug has been double checked and is laying flat with trash can sitting on the edge of the rug.  Facilities will monitor throughout the day.,-NEGLIGENCE
"Employee arrived at Fire Hydrant Test location and proceeded to scan area to ensure that there were NO Safety Concerns !  After hooking up the Automatic Flushing Device to Fire Hydrant FAP 110 @ Central Camp-Arena 2 Area, employee proceeded to authenticate the program on the device.  While doing this, employee,  had felt that he must have been sweating and discovered that RED ANTS were in his shoes and all over his legs, up to his knees.  At this point, employee proceeded to exit the area, by the fire hydrant test and removed his shoes and roll up his pants to rid himself of the ANTS !  GOOD NEWS?..employee reported to DAD, back @ the Administration Building @ 3:15 pm, that he had NOT received any bites from the RED ANTS ! ",-POOR_JUDGMENT-NEGLIGENCE
Electrical Sub Contractor was working in a panel for the SCADA upgrade.  EH&S specialist noticed Sub in the panel and that the bucket was live.  Stoped contractor and ask why he was in the panel with no Arc flash suit on since power was not cut.  Sub Contractor did not check for power prior to beginning work.  Told Sub to close the cover and stop work till he could get his gear on or panel could be locked out.,-ELECTRICAL-POOR_JUDGMENT-NEGLIGENCE
"During a plant safety inspection, a loose railing was discovered atop the anaerobic digester. A wedge which was intended holds the rail section in place had worked loose, and with little effort, the railing was easily separated. Thus, the railing could not provide proper protection, so a falling hazard existed. The wedge was repositioned and made secure. Also, a section of unistrut was purchased then bolted to the railing as insurance against it working loose again. Although this repair appears unsightly, other options would have required machining and/or welding. Both being poor options when considering the proximity of methane about this unit. ",-NEGLIGENCE
"While moving a piece of equipment to jet a backyard sewer, it was noticed by an employee that sparks were coming from the area of the starting battery as equipment was moving.  Equipment was stopped and shut down immediately.  Battery had moved while being transported and the positive post wire was making connection with the metal box.  The positive connection was removed and additional rubber tape was added to the connector.  The battery box was retrofitted with rubber material to prevent a future instance on both the positive and negative terminals.",-ELECTRICAL-NEGLIGENCE
"I was at at a service line replacement site in a residential neighborhood.  I went to my car to take a phone call.  When I returned, I forgot my hardhat in my vehicle.  The crew leader, noticed I had forgotten my hard hat.  He brought it to my attention and asked that I retrieve it.  I want to thank Dave for observing and pointing this out to me.  Even a safety person needs a safety reminder from a co-worker from time to time. ",-POOR_JUDGMENT-NEGLIGENCE
"It occurred at lunch time. A lady was carrying a food item and nearly tripped over a wire that was helping power the heaters for the hot dogs and hamburgers for the Safety Fair meal. I'm guessing the wire just wasn't taped down or there was a part sticking out of the power source that made her trip, but not fall.",-POOR_JUDGMENT-NEGLIGENCE
" our contractor installing water main hit an unmarked gas service  ,  when I arrived all work was stopped and call 911 and peco  one house was evacuated  peco arrived and repaired the gas service, marking  co was called and asked to go over all the gas services on the street and make sure they are marked ",-NEGLIGENCE
"Witnessed employee wearing improper footwear (flip flops or similar sandals) for the activities being conducted.  This type of sandal provides no protection against slipping, falling or against injury to the toes and foot.  Proper footwear is essential PPE regardless if you work in the field or the office. ",-POOR_JUDGMENT-NEGLIGENCE
I had hooked up hose and defuser to a hydrant for flushing and as I opened the hydrant I noted air escaping around the Highball port cap. I was about to close the hydrant again when the entire cap and threads blew out of the hydrant and flew about five feet across the sidewalk. Luckily no-one was nearby and I was working from behind the hydrant at the time. I contacted the town works manager immediately and they replaced the defective parts and had the hydrant back in service within one hour. This could have had disastrous results had it been the fire department wanting to use the hydrant in an emergency situation. ,-NEGLIGENCE
Bob was doing routine checks in Dig # 3 he noticed the fall protection bar was removed from the ladder opening to dig #3 basement he replaced it and reported it,-FALL-POOR_JUDGMENT-NEGLIGENCE
A Supervisor gave his lock and tag to an employee to lock out and tag out Filter 1 so a project could begin the next day.  The employee did lock and tag out Filter 1 and later realized he made a mistake and should not have installed his supervisor's lock and tag.  Corrective action: Both were talked to regarding the critical importance when it comes to LOTO.  The person that locks/tags out the equipment is the person that removes it when the project is completed (summarizing).,-NEGLIGENCE
Customer (Daniel Martinez) reported that while driving on the highway an American Water driver threw a metal object out the passenger side window and struck his vehicle. Customer explained that his daughter was with him in the truck. The AM Water truck ID #11402,-POOR_JUDGMENT-NEGLIGENCE
"While prepping the kitchen for our Safety Day Event, I noticed a foil tray had accidentally been left on the stove. I removed it and the tea kettle from the stovetop. I am sure everyone is mindful that our stove is electric and it is not easy to tell when the burners are on. A knob could be easily turned accidentally during the hustle and bustle of a large luncheon for an event  or even when a few people are getting food out of the refrigerator during everyday lunch time. If left unnoticed, anything on top of the stove could easily catch fire. To avoid any possible safety issues in the kitchen, the stovetop should be left free of any objects while not in use.",-POOR_JUDGMENT-NEGLIGENCE
"I was exiting the Voorhees parking lot and saw our Landscape Sprinkler vendor's truck parked to the side of the lane.  Tool access doors were open on the traffic side of the vehicle.  No orange cones were placed around the truck.  I stopped and asked the worker to place cones around his vehicle.  Upon my return, 20 minutes later, the cones were still missing.  I pulled into the closest parking spot.  Turned off my car and got out.  I again asked the gentleman to place the cones.  He stated he advised his supervisor, but he must have been busy.  I asked him if he himself could put them out.  I waited while he walked to the location where they had about 10 cones, picked up two and placed them at the front and back corners of the work truck.",-POOR_JUDGMENT-NEGLIGENCE
Contractor working on our irrigation system was working next to the highway shoulder.  He was routinely stepping off the curb onto the highway shoulder and was not wearing a reflective vest.  Work was stopped.  Work resumed after the contractor retrieved his PPE.  ,-VEHICLE-POOR_JUDGMENT-NEGLIGENCE
working with Illinois electric cleaning vfd drives we locked out # 1 breaker to start and find out it was labeled  wrong we remove the label relabeled it and locked out the right one,-ELECTRICAL-POOR_JUDGMENT-NEGLIGENCE
"While Performing sewer cleaning, Oswald's(subcontractor) vehicle was encroaching a traffic lane.  One of Oswald's workers was directing traffic while the vehicle was encroaching on the traffic lane.  The worker who was directing traffic was not wearing a safety vest and was not using a flag or pole to direct traffic.  Instead, he was waving traffic on using his hands.",-VEHICLE-POOR_JUDGMENT-NEGLIGENCE
"On the morning of 7/7/16, I arrived at the Bluestone Intermediate Station to do an inspection of the facility.  As I opened the door I seen a snake skin in the floor which caused me to inspect the building further.  This is when I seen a Copperhead along the interior wall where we have parts stored for a job that is coming up.  I was able to safely remove the snake.",-POOR_JUDGMENT-NEGLIGENCE
carpeting in hallway front of Pod 6  was wet from what could possibly be roof leak. Noticed @ 630am.  Placed trash can to catch any further drips and wet floor sign to alert staff to walk around the spot to avoid possibly slipping. Notified Facilities of issue.,-POOR_JUDGMENT-NEGLIGENCE
"While digging to install a meter pit, crews hit an underground cable line in conduit that was not marked at all. Upon inspection, crews also noticed they were an inch away from hitting and probably ripping out an underground, direct bury electric service to the house. The markout for the electric service was 8ft off. The job was shutdown until a representative from JCPL arrived to inspect the house service and contact to Comcast was made to report the damage of the conduit. The cable line was a stubbed line at the utility pole. We moved our excavation to stay away from the utilities impacted. ",-POOR_JUDGMENT-NEGLIGENCE
While receiving a chemical delivery is was noticed that the driver had on short sleeves and no eye protection. Delivery was stopped and driver was asked to put on proper PPE. Once driver had proper PPE on the delivery process was resumed.,-CHEMICAL-NEGLIGENCE
Crews using Sawsall to cut Composite lids for logger placement in the field while standing on them or holding them. Potential for cutting injury.,-NEGLIGENCE
"The reporting employee was dispatched out to a residence house for a high/low investigation. They were informed that the customer may have had a leak and wanted a California American Water Representative to further investigate. Upon arrival I had noticed that the meter was in the sidewalk and that its lid was totally crushed in. They removed the remaining pieces of the lid and observed meter, after this they placed a cone over the hole, then called another operator to please bring a replacement lid while they talked with the customer and monitored the trip hazard. The customer stated that they were aware that the lid was crushed and were meaning to replace it. They assured the customer that we were already handling the situation, and that the employee was just glad that nobody had fallen into the pit. This I believe was a near miss due to the hazard, and was immediately eliminated thru corrective action.",-NEGLIGENCE
Gate to vehicle entrance wire holding fence broken and sticking up.,FOG-RAIN-POOR_VISIBILITY-HIGH_WINDS-WEATHER
"While Fueling up at the gas station, Attendant (who was talking on the cellphone the entire time) gave me my credit card back after 5 min.  I assumed he was done fueling up. I proceeded to drive away while fuel line was still attached to car. Driving away caused the fuel line to disconnect from the pump. No fuel was released do to the automatic shutoff connectors on the fuel pumps.  The reason it occurred was because I assumed he was done filling without checking. Attendant shouldn't be on the phone while doing his job.",RAIN-THUNDERSTORM-POOR_VISIBILITY-HIGH_WINDS-VEHICLE-WEATHER
"During our weekly preventative maintenance inspections on our Blower units, it was observed that one of the Blowers had leaked oil onto the ground causing a slip hazard. The oil was cleaned up and the blower was red tagged until repairs could be preformed.",-NEGLIGENCE
Contractor was using a crane to lift a AHU to the roof of the service center.  Employee noticed the employees providing the hand signals were within 6 feet of the edge providing hand signals.  The contractors were not tied off.  Employee stopped worked immediately and informed contractors to tie off or use other appropriate communication devices.  The  contractors used communication device moving forward and no longer had to be close to the edge. ,-FALL-POOR_JUDGMENT-NEGLIGENCE
"I walked outside of the meter reading/fsr doors this morning and when I turned to the right I tripped on a box. I did not fall, just stumbled a little bit and could have fallen. The box was on the sidewalk and not stacked up with the other boxes on the pallets. I moved the boxes back on the pallets where they go.  If we are going to have pallets of material to pull product from, people should keep the pallets and boxes stacked neatly leaving no boxes on the ground in the walkway. No boxes should be left sitting on the ground where someone can fall over them when they turn the corner.  I have attached pictures below  Picture #1 was the box where I almost fell. #2 was the walkway and line of pallets/stacked boxes after I moved the boxes that were on the ground back to the top of the pallets where they should be to keep the walkway clear. ",-NEGLIGENCE
A raccoon came to the Craig Road office during the day looking for food in the trash can.  Animal control was called but they stated to just stay away from the animal.  A notification was sent to the office reminding the employees to keep their distance from the animal.  ,-POOR_JUDGMENT-NEGLIGENCE
"The generator is sitting on a narrow trailer that poses a fall hazard when attempting to service the engine, and when climbing onto the trailer There is not enough area on the trailer to properly place a ladder nor protect the employee regarding balance. An adjustable OSHA approved work platform has been ordered for safe access on the trailer and to additional area in regards to ladder placement. ",-POOR_JUDGMENT-NEGLIGENCE
"Contractor Crew was performing a hydrant replacement without proper exposure of hydrant valve to verify it being secured.  Job was stopped, Crew was instructed to proceed in the proper method consistent with Company policy.  Disciplinary measures were taken following further investigation and review.",-POOR_JUDGMENT-NEGLIGENCE
Needed to remove cabinet above the coffee maker in order to repair. Found burn marks on the bottom that indicated the coffee maker was too close to the cabinet and could be a potential fire problem.,SNOW-POOR_VISIBILITY-WEATHER
"While cleaning the lift station basket for the first time after start up, we found that the hoist was installed in the wrong location. In this location the hoist would not extend far enough over to pull the basket straight up on the rails causing it to get jammed and very difficult to pull. To complete this task a second person had to manipulate the cable so that it would pull straight up while the other employee cranked it up. This issue was brought up to engineers working on the project who had the hoist relocated to a position that would allow us to pull the basket as well as the pumps up more safely. ",RAIN-THUNDERSTORM-WEATHER
Employee found new wasp nest on the handle to the west side staircase of the D-Box. Production mechanic will spray when they are not so active to prevent future stings.,RAIN-THUNDERSTORM-WEATHER
While transferring services on Brownsville Rd a individual walking down the street stopped and asked the crew for a job.  The crew told him he needed to apply online.  As the individual continued walking down the street towards the next crew working he stopped and asked the second crew the same question.  After receiving the same answer the individual then jumped over the barricades and into the open ditch.  At that time I alerted the police officer that was onsite for traffic control and he took the individual away. ,-NEGLIGENCE
